policy_type,namespace,destination_cidr,allowed
Reachability,madrid,100.0.32.0/24,true
Reachability,bratislava,100.0.32.0/24,true
Reachability,istanbul,100.0.32.0/24,true
Reachability,geneva,100.0.32.0/24,true
Reachability,basel,100.0.32.0/24,true
Reachability,praha,100.0.32.0/24,true
Reachability,frankfurt,100.0.32.0/24,true
Reachability,barcelona,100.0.32.0/24,true
Reachability,luxembourg,100.0.32.0/24,true
Reachability,bucharest,100.0.32.0/24,true
Reachability,vaduz,100.0.32.0/24,false
Reachability,kiev,100.0.32.0/24,true
Reachability,strasbourg,100.0.32.0/24,true
Reachability,rotterdam,100.0.32.0/24,true
Reachability,zagreb,100.0.32.0/24,false
Reachability,dublin,100.0.32.0/24,false
Reachability,ljubljana,100.0.32.0/24,false
Reachability,roma,100.0.32.0/24,true
Reachability,brussels,100.0.32.0/24,true
Reachability,milan,100.0.32.0/24,true
Reachability,budapest,100.0.32.0/24,true
Reachability,london,100.0.32.0/24,true
Reachability,marseille,100.0.32.0/24,true
Reachability,vienna,100.0.32.0/24,true
Reachability,amsterdam,100.0.32.0/24,true
Reachability,lisbon,100.0.32.0/24,false
Reachability,zurich,100.0.32.0/24,true
Reachability,athens,100.0.32.0/24,true
Reachability,sofia,100.0.32.0/24,true
Reachability,lyon,100.0.32.0/24,true
Reachability,stockholm,100.0.32.0/24,false
Reachability,paris,100.0.32.0/24,true
Reachability,madrid,100.0.31.0/24,true
Reachability,bratislava,100.0.31.0/24,true
Reachability,istanbul,100.0.31.0/24,true
Reachability,geneva,100.0.31.0/24,true
Reachability,basel,100.0.31.0/24,true
Reachability,praha,100.0.31.0/24,true
Reachability,frankfurt,100.0.31.0/24,true
Reachability,barcelona,100.0.31.0/24,true
Reachability,luxembourg,100.0.31.0/24,true
Reachability,bucharest,100.0.31.0/24,true
Reachability,vaduz,100.0.31.0/24,false
Reachability,kiev,100.0.31.0/24,true
Reachability,warsaw,100.0.31.0/24,true
Reachability,strasbourg,100.0.31.0/24,true
Reachability,rotterdam,100.0.31.0/24,true
Reachability,zagreb,100.0.31.0/24,false
Reachability,dublin,100.0.31.0/24,false
Reachability,ljubljana,100.0.31.0/24,false
Reachability,roma,100.0.31.0/24,true
Reachability,brussels,100.0.31.0/24,true
Reachability,milan,100.0.31.0/24,true
Reachability,budapest,100.0.31.0/24,true
Reachability,london,100.0.31.0/24,true
Reachability,marseille,100.0.31.0/24,true
Reachability,vienna,100.0.31.0/24,true
Reachability,lisbon,100.0.31.0/24,false
Reachability,zurich,100.0.31.0/24,true
Reachability,athens,100.0.31.0/24,true
Reachability,sofia,100.0.31.0/24,true
Reachability,lyon,100.0.31.0/24,true
Reachability,stockholm,100.0.31.0/24,false
Reachability,paris,100.0.31.0/24,true
Reachability,madrid,100.0.30.0/24,false
Reachability,bratislava,100.0.30.0/24,false
Reachability,istanbul,100.0.30.0/24,false
Reachability,geneva,100.0.30.0/24,false
Reachability,basel,100.0.30.0/24,false
Reachability,praha,100.0.30.0/24,false
Reachability,frankfurt,100.0.30.0/24,false
Reachability,barcelona,100.0.30.0/24,false
Reachability,luxembourg,100.0.30.0/24,false
Reachability,bucharest,100.0.30.0/24,false
Reachability,vaduz,100.0.30.0/24,false
Reachability,kiev,100.0.30.0/24,false
Reachability,rotterdam,100.0.30.0/24,false
Reachability,warsaw,100.0.30.0/24,false
Reachability,strasbourg,100.0.30.0/24,false
Reachability,zagreb,100.0.30.0/24,false
Reachability,dublin,100.0.30.0/24,false
Reachability,ljubljana,100.0.30.0/24,false
Reachability,roma,100.0.30.0/24,false
Reachability,brussels,100.0.30.0/24,false
Reachability,milan,100.0.30.0/24,false
Reachability,budapest,100.0.30.0/24,false
Reachability,london,100.0.30.0/24,false
Reachability,vienna,100.0.30.0/24,false
Reachability,marseille,100.0.30.0/24,false
Reachability,amsterdam,100.0.30.0/24,false
Reachability,zurich,100.0.30.0/24,false
Reachability,athens,100.0.30.0/24,false
Reachability,sofia,100.0.30.0/24,false
Reachability,lyon,100.0.30.0/24,false
Reachability,stockholm,100.0.30.0/24,false
Reachability,paris,100.0.30.0/24,false
Reachability,madrid,100.0.29.0/24,true
Reachability,bratislava,100.0.29.0/24,true
Reachability,istanbul,100.0.29.0/24,true
Reachability,geneva,100.0.29.0/24,true
Reachability,basel,100.0.29.0/24,true
Reachability,praha,100.0.29.0/24,true
Reachability,frankfurt,100.0.29.0/24,true
Reachability,barcelona,100.0.29.0/24,true
Reachability,luxembourg,100.0.29.0/24,true
Reachability,bucharest,100.0.29.0/24,true
Reachability,vaduz,100.0.29.0/24,false
Reachability,kiev,100.0.29.0/24,true
Reachability,rotterdam,100.0.29.0/24,true
Reachability,warsaw,100.0.29.0/24,true
Reachability,strasbourg,100.0.29.0/24,true
Reachability,zagreb,100.0.29.0/24,false
Reachability,dublin,100.0.29.0/24,false
Reachability,ljubljana,100.0.29.0/24,false
Reachability,roma,100.0.29.0/24,true
Reachability,brussels,100.0.29.0/24,true
Reachability,milan,100.0.29.0/24,true
Reachability,budapest,100.0.29.0/24,true
Reachability,vienna,100.0.29.0/24,true
Reachability,marseille,100.0.29.0/24,true
Reachability,amsterdam,100.0.29.0/24,true
Reachability,lisbon,100.0.29.0/24,false
Reachability,zurich,100.0.29.0/24,true
Reachability,athens,100.0.29.0/24,true
Reachability,sofia,100.0.29.0/24,true
Reachability,lyon,100.0.29.0/24,true
Reachability,stockholm,100.0.29.0/24,false
Reachability,paris,100.0.29.0/24,true
Reachability,madrid,100.0.28.0/24,true
Reachability,bratislava,100.0.28.0/24,true
Reachability,istanbul,100.0.28.0/24,true
Reachability,geneva,100.0.28.0/24,true
Reachability,basel,100.0.28.0/24,true
Reachability,frankfurt,100.0.28.0/24,true
Reachability,barcelona,100.0.28.0/24,true
Reachability,luxembourg,100.0.28.0/24,true
Reachability,bucharest,100.0.28.0/24,true
Reachability,vaduz,100.0.28.0/24,false
Reachability,kiev,100.0.28.0/24,true
Reachability,warsaw,100.0.28.0/24,true
Reachability,rotterdam,100.0.28.0/24,true
