policy_type,namespace,destination_cidr,allowed,port,protocol,peer_namespace,egress_destination_cidr,egress_allowed,ports_json,target_labels_json,peer_labels_json
Reachability,amsterdam,100.0.0.0/24,true,80,TCP,,,,,,
Isolation,amsterdam,100.0.0.0/24,true,80,TCP,,,,,,
NamespaceSelector,amsterdam,,true,80,TCP,athens,,,,,
CombinedIngressEgress,amsterdam,,false,80,TCP,,100.1.0.0/24,true,,,
MultiPort,amsterdam,100.0.0.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,amsterdam,,,8080,TCP,,,,,"{""app"": ""payments"", ""tier"": ""frontend""}","{""app"": ""orders"", ""tier"": ""backend""}"
Reachability,athens,100.0.1.0/24,false,80,TCP,,,,,,
Isolation,athens,100.0.1.0/24,false,80,TCP,,,,,,
NamespaceSelector,athens,,false,80,TCP,barcelona,,,,,
CombinedIngressEgress,athens,,false,80,TCP,,100.1.1.0/24,false,,,
MultiPort,athens,100.0.1.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 22}, {""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 443}]",,
MultiLabelSelector,athens,,,8080,TCP,,,,,"{""app"": ""gateway"", ""tier"": ""backend""}","{""app"": ""inventory"", ""tier"": ""cache""}"
Reachability,barcelona,100.0.2.0/24,true,80,TCP,,,,,,
Isolation,barcelona,100.0.2.0/24,true,80,TCP,,,,,,
NamespaceSelector,barcelona,,true,80,TCP,basel,,,,,
CombinedIngressEgress,barcelona,,false,80,TCP,,100.1.2.0/24,true,,,
MultiPort,barcelona,100.0.2.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 443}, {""protocol"": ""TCP"", ""port"": 6379}]",,
MultiLabelSelector,barcelona,,,8080,TCP,,,,,"{""app"": ""auth"", ""tier"": ""cache""}","{""app"": ""notifications"", ""tier"": ""worker""}"
Reachability,basel,100.0.3.0/24,false,80,TCP,,,,,,
Isolation,basel,100.0.3.0/24,false,80,TCP,,,,,,
NamespaceSelector,basel,,false,80,TCP,bratislava,,,,,
CombinedIngressEgress,basel,,false,80,TCP,,100.1.3.0/24,false,,,
MultiPort,basel,100.0.3.0/24,,,,,,,"[{""protocol"": ""TCP"", ""port"": 80}, {""protocol"": ""TCP"", ""port"": 3306}, {""protocol"": ""TCP"", ""port"": 6379}]",,
